case_id,dataset,fit_fraction,fit_samples,pseudo_samples,prior_name,ar_order,n_metrics,n_scored_metrics,metric_failures,median_metric_log_bf,p90_metric_log_bf,max_metric_log_bf,positive_metric_fraction,strong_metric_fraction,n_services,median_service_log_bf,p90_service_log_bf,max_service_log_bf,positive_service_fraction,strong_service_fraction,top_service,pre_unstable_metric_fraction,post_unstable_metric_fraction,shared_unstable_metric_fraction
re1_ob__adservice_cpu__1,re1_ob,0.4,240,360,weak,3,50,50,0,-13.18486958035919,33.37803715169239,854.6496566255811,0.22,0.2,15,-4.581915096493257,58.68810401783996,281.9183463823246,0.4,0.3333333333333333,cartservice,0.02,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.4,240,360,reference,3,50,50,0,-8.703493098071021,23.72850433179318,833.4567576151951,0.22,0.18,15,-1.1971614488784326,63.14993338287968,274.4526066659427,0.4,0.3333333333333333,cartservice,0.02,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.4,240,360,strong,3,50,50,0,-6.139905028883561,18.575498052513993,725.9154519366351,0.22,0.18,15,-3.270575557961479,64.2208407704496,227.50307453639468,0.4666666666666667,0.3333333333333333,cartservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.5,300,300,weak,3,50,50,0,-13.296170850035537,46.790816292402006,1064.8168122907414,0.2,0.2,15,0.5028046853404575,159.40438450418404,345.88150198099385,0.5333333333333333,0.4,recommendationservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.5,300,300,reference,3,50,50,0,-9.84237929164891,49.68998104190918,961.3109007483972,0.22,0.2,15,-3.1877912259847485,157.60299381940064,314.6203689412164,0.4666666666666667,0.4,recommendationservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.5,300,300,strong,3,50,50,0,-7.28509636848645,40.10253430319479,774.9139762170253,0.18,0.16,15,-8.09725342188157,138.4176106037619,255.05819611096013,0.4666666666666667,0.4666666666666667,recommendationservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.6,360,240,weak,3,50,50,0,-13.182927307181899,42.14426772597901,839.0285504704361,0.22,0.22,15,1.4516251668016456,203.2026778824687,271.89152436230273,0.5333333333333333,0.4666666666666667,recommendationservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.6,360,240,reference,3,50,50,0,-9.444691214656501,41.82744519882456,756.3824427814222,0.2,0.2,15,-1.8559203172319485,202.37744773143203,247.62098969382677,0.4666666666666667,0.4666666666666667,recommendationservice,0.0,0.0,0.0
re1_ob__adservice_cpu__1,re1_ob,0.6,360,240,strong,3,50,50,0,-8.213830661918564,35.052005795390556,608.7076103705854,0.2,0.18,15,-9.305016410624452,175.6735556399408,207.33351565351262,0.4666666666666667,0.4,redis,0.0,0.0,0.0
re1_ob__adservice_cpu__2,re1_ob,0.4,240,360,weak,3,50,50,0,-16.09191129205476,175.22212335024614,1614.320709825306,0.22,0.2,15,6.245812081216627,208.6993872520858,798.4633109869018,0.6666666666666666,0.6,frontend-external,0.0,0.02,0.0
re1_ob__adservice_cpu__2,re1_ob,0.4,240,360,reference,3,50,50,0,-11.988276957407265,169.94827990103198,1492.7346576344748,0.2,0.2,15,5.881420110035113,203.91762897628703,740.1590962747556,0.6666666666666666,0.6666666666666666,frontend-external,0.0,0.02,0.0
re1_ob__adservice_cpu__2,re1_ob,0.4,240,360,strong,3,50,50,0,-9.930609506190876,128.38580354623363,1254.1291234035375,0.16,0.16,15,4.083612853346267,180.31675658070446,623.3518894984201,0.5333333333333333,0.5333333333333333,frontend-external,0.0,0.02,0.0
re1_ob__adservice_cpu__2,re1_ob,0.5,300,300,weak,3,50,50,0,-16.809663022257496,178.5731672783369,1338.855477194498,0.2,0.2,15,0.7425349989700862,270.7156429087547,660.8563944042405,0.5333333333333333,0.4666666666666667,frontend-external,0.0,0.04,0.0
re1_ob__adservice_cpu__2,re1_ob,0.5,300,300,reference,3,50,50,0,-12.0811661877338,171.18112331808652,1238.0822175681558,0.2,0.2,15,1.839914305796924,266.827472649178,612.9565496961316,0.5333333333333333,0.4666666666666667,frontend-external,0.0,0.04,0.0
re1_ob__adservice_cpu__2,re1_ob,0.5,300,300,strong,3,50,50,0,-9.133249017167032,119.46167825165197,1041.1728344933572,0.18,0.18,15,-6.3695237455174265,242.68510710769408,516.9865113514574,0.4666666666666667,0.4,frontend-external,0.0,0.04,0.0
re1_ob__adservice_cpu__2,re1_ob,0.6,360,240,weak,3,50,50,0,-14.811258548664021,145.84267856666574,1155.510966331915,0.22,0.22,15,-0.7259402000240129,356.9350315140236,522.4476859265831,0.4666666666666667,0.4666666666666667,frontend-external,0.0,0.02,0.0
re1_ob__adservice_cpu__2,re1_ob,0.6,360,240,reference,3,50,50,0,-12.110866656857525,122.76640592009926,1159.5388354988127,0.24,0.2,15,2.999769536392364,359.13302866141515,484.9251391176625,0.6,0.5333333333333333,frontend-external,0.0,0.02,0.0
re1_ob__adservice_cpu__2,re1_ob,0.6,360,240,strong,3,50,50,0,-8.698201123908802,44.83275147457655,1158.6567463242422,0.22,0.2,15,4.535469704064667,356.5977554455635,409.63641560777774,0.5333333333333333,0.5333333333333333,frontend-external,0.0,0.0,0.0
re1_ob__adservice_cpu__3,re1_ob,0.4,240,360,weak,3,50,50,0,-14.910375955821193,212.67328993894247,3237.4124674738396,0.24,0.24,15,35.40160957753934,344.1661713505679,1610.5788278024652,0.6,0.6,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.4,240,360,reference,3,50,50,0,-10.977423599206531,201.45687886703382,3158.4467364823695,0.22,0.22,15,26.978696131626595,330.10151426669677,1573.5654769134842,0.6,0.6,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.4,240,360,strong,3,50,50,0,-9.165843482153093,135.72563486102464,3005.0489646973037,0.2,0.18,15,-1.9273869813133995,296.3321355162277,1499.2223626884302,0.4666666666666667,0.4666666666666667,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.5,300,300,weak,3,50,50,0,-14.47651489446514,222.9855049016867,4101.578763692611,0.22,0.22,15,38.66673282416631,313.8377615255815,2043.2105348033547,0.6,0.6,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.5,300,300,reference,3,50,50,0,-10.625550751019944,223.6346327040906,4001.840208432612,0.24,0.22,15,42.352856283914015,303.31034407080296,1995.8063772524283,0.6,0.6,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.5,300,300,strong,3,50,50,0,-9.070856318439382,196.09972774643978,3806.9801745467284,0.2,0.2,15,38.474555225923076,276.31628163750395,1900.695968809439,0.5333333333333333,0.5333333333333333,frontend-external,0.0,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.6,360,240,weak,3,50,50,0,-14.55272316259331,177.69115468923076,1057.2076693211984,0.24,0.2,15,17.827233208603882,337.78763898009174,521.9542671500096,0.6,0.6,frontend-external,0.02,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.6,360,240,reference,3,50,50,0,-10.906189465761372,179.74295383243393,977.2076314239735,0.22,0.22,15,21.893214865558093,329.9022614966465,484.4157798990967,0.6,0.6,frontend-external,0.02,0.0,0.02
re1_ob__adservice_cpu__3,re1_ob,0.6,360,240,strong,3,50,50,0,-8.625683658634841,160.33095474966404,886.6325965168344,0.2,0.18,15,20.48523283397992,290.94184812108426,437.86480199018797,0.5333333333333333,0.5333333333333333,main,0.02,0.0,0.02
