fault_type,mean_delta_AC@1,mean_delta_AC@3,mean_delta_AC@5,mean_delta_Avg@1,mean_delta_Avg@3,mean_delta_Avg@5,mean_delta_root_rank,mean_delta_root_score,n_cases,n_delta_AC@1,n_delta_AC@3,n_delta_AC@5,n_delta_Avg@1,n_delta_Avg@3,n_delta_Avg@5,n_delta_root_rank,n_delta_root_score
carts_cpu,-0.4,-0.4,-0.4,-0.4,-0.5333333333333334,-0.52,5.6,-548.6605094916665,5,5,5,5,5,5,5,5,5
carts_delay,-0.2,0.0,0.0,-0.2,-0.06666666666666668,-0.039999999999999994,0.4,-13.511833498597843,5,5,5,5,5,5,5,5,5
carts_loss,0.0,0.0,0.0,0.0,0.0,0.0,,,5,5,5,5,5,5,5,0,0
carts_mem,0.0,-0.4,-0.6,0.0,-0.13333333333333333,-0.32,2.0,-313.5561677389845,5,5,5,5,5,5,5,5,5
cartservice_cpu,0.0,0.0,-0.6,0.0,0.0,-0.16,4.6,-572.0245791613527,5,5,5,5,5,5,5,5,5
cartservice_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.22726974441675,5,5,5,5,5,5,5,5,5
cartservice_loss,0.0,0.0,0.0,0.0,0.0,0.0,,,5,5,5,5,5,5,5,0,0
cartservice_mem,0.0,0.0,-0.2,0.0,-0.13333333333333333,-0.16000000000000003,0.0,-358.22392521543713,5,5,5,5,5,5,5,5,5
catalogue_cpu,-0.2,0.0,0.0,-0.2,-1.1102230246251566e-17,2.2204460492503132e-17,0.2,-375.6569723174877,5,5,5,5,5,5,5,5,5
catalogue_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.80309854363686,5,5,5,5,5,5,5,5,5
catalogue_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.52492284912023,5,5,5,5,5,5,5,1,1
catalogue_mem,0.0,-0.2,0.0,0.0,-0.06666666666666667,-0.07999999999999999,0.4,-391.5105710607648,5,5,5,5,5,5,5,5,5
checkoutservice_cpu,0.2,-0.2,0.0,0.2,1.1102230246251566e-17,0.0,0.0,-356.00386653808465,5,5,5,5,5,5,5,5,5
checkoutservice_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.81336477715231,5,5,5,5,5,5,5,5,5
checkoutservice_loss,0.0,0.0,0.0,0.0,0.0,0.0,,,5,5,5,5,5,5,5,0,0
checkoutservice_mem,-0.2,0.0,0.0,-0.2,-0.13333333333333336,-0.08,0.0,-428.4237221854986,5,5,5,5,5,5,5,5,5
currencyservice_cpu,0.0,0.0,-0.2,0.0,0.0,-0.12000000000000002,4.6,-450.2123172353554,5,5,5,5,5,5,5,5,5
currencyservice_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.57222663286193,5,5,5,5,5,5,5,5,5
currencyservice_loss,0.0,0.0,0.0,0.0,0.0,0.0,,,5,5,5,5,5,5,5,0,0
currencyservice_mem,0.0,0.0,-0.6,0.0,0.0,-0.16,2.6,-365.75801163984363,5,5,5,5,5,5,5,5,5
orders_cpu,0.0,-0.8,-0.4,0.0,-0.4666666666666666,-0.52,3.8,-613.7732309059642,5,5,5,5,5,5,5,5,5
orders_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22806548046364,5,5,5,5,5,5,5,5,5
orders_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.50968217598984,5,5,5,5,5,5,5,5,5
orders_mem,0.0,0.0,0.0,0.0,-0.13333333333333333,-0.08000000000000003,0.6,-295.93479878954486,5,5,5,5,5,5,5,5,5
payment_cpu,0.0,0.0,0.0,0.0,-0.06666666666666667,-0.040000000000000015,0.2,-250.6268075699798,5,5,5,5,5,5,5,5,5
payment_delay,0.2,0.0,0.0,0.2,0.06666666666666668,0.039999999999999994,-0.2,379.749445612552,5,5,5,5,5,5,5,5,5
payment_loss,0.0,0.0,0.0,0.0,0.0,0.0,,,5,5,5,5,5,5,5,0,0
