fault_type,mean_delta_AC@1,mean_delta_AC@3,mean_delta_AC@5,mean_delta_Avg@1,mean_delta_Avg@3,mean_delta_Avg@5,mean_delta_root_rank,mean_delta_root_score,n_cases,n_delta_AC@1,n_delta_AC@3,n_delta_AC@5,n_delta_Avg@1,n_delta_Avg@3,n_delta_Avg@5,n_delta_root_rank,n_delta_root_score
carts_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.02646591737675,5,5,5,5,5,5,5,5,5
carts_delay,0.2,0.0,0.0,0.2,0.06666666666666668,0.039999999999999994,-0.2,-149.62997197327428,5,5,5,5,5,5,5,5,5
carts_loss,0.2,0.0,0.0,0.2,0.06666666666666668,0.039999999999999994,-0.2,-51.667489243108704,5,5,5,5,5,5,5,5,5
carts_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.27683656992777,5,5,5,5,5,5,5,5,5
cartservice_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-429.66670582569697,5,5,5,5,5,5,5,5,5
cartservice_delay,0.2,0.0,0.0,0.2,0.06666666666666668,0.039999999999999994,-0.2,-104.66977294510897,5,5,5,5,5,5,5,5,5
cartservice_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.730688699427725,5,5,5,5,5,5,5,5,5
cartservice_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161.79935504153894,5,5,5,5,5,5,5,5,5
catalogue_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182.2727678500587,5,5,5,5,5,5,5,5,5
catalogue_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.5115417563612,5,5,5,5,5,5,5,5,5
catalogue_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.31575656277846,5,5,5,5,5,5,5,5,5
catalogue_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.2008907469025,5,5,5,5,5,5,5,5,5
checkoutservice_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-306.7388292813643,5,5,5,5,5,5,5,5,5
checkoutservice_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.07871232051771,5,5,5,5,5,5,5,5,5
checkoutservice_loss,0.0,0.0,-0.6,0.0,0.0,-0.24000000000000005,2.0,-371.93453111698636,5,5,5,5,5,5,5,5,5
checkoutservice_mem,0.2,0.0,0.0,0.2,0.06666666666666668,0.039999999999999994,-0.2,-340.8446508236987,5,5,5,5,5,5,5,5,5
currencyservice_cpu,0.0,0.0,0.0,0.0,0.0,0.04,-0.2,-65.29440344820985,5,5,5,5,5,5,5,5,5
currencyservice_delay,0.0,0.0,0.0,0.0,0.06666666666666667,0.040000000000000015,-0.2,25.674681828985058,5,5,5,5,5,5,5,5,5
currencyservice_loss,0.0,0.0,0.0,0.0,0.06666666666666667,0.040000000000000015,-0.2,-22.69544027942178,5,5,5,5,5,5,5,5,5
currencyservice_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.41440662861123,5,5,5,5,5,5,5,5,5
orders_cpu,-0.2,0.0,0.0,-0.2,-0.06666666666666668,-0.039999999999999994,0.2,-277.49927884870397,5,5,5,5,5,5,5,5,5
orders_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.03227511598234,5,5,5,5,5,5,5,5,5
