amber_AC@1,amber_AC@3,amber_AC@5,amber_Avg@1,amber_Avg@3,amber_Avg@5,amber_result_file,ar_root_rank,ar_root_score,dataset,delta_AC@1,delta_AC@3,delta_AC@5,delta_Avg@1,delta_Avg@3,delta_Avg@5,delta_root_rank,delta_root_score,fault_type,granularity,no_ar_AC@1,no_ar_AC@3,no_ar_AC@5,no_ar_Avg@1,no_ar_Avg@3,no_ar_Avg@5,no_ar_result_file,raw_root_rank,raw_root_score,root_cause_members,run_id,sum_phi
0,0,0,0.0,0.0,0.0,results/main/amber/metric/online_boutique/cartservice_cpu_run1.json,8,566.3973782962148,online_boutique,0.0,0.0,-1.0,0.0,0.0,-0.4,4,-733.2301309699512,cartservice_cpu,metric,0,0,1,0.0,0.0,0.4,results/ablation/no_ar/metric/online_boutique/cartservice_cpu_run1.json,4,1299.627509266166,"[""cartservice_cpu""]",1,0.9213145718333257
0,0,0,0.0,0.0,0.0,results/main/amber/metric/online_boutique/cartservice_cpu_run2.json,7,682.9905531476315,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,1,-422.4688626778666,cartservice_cpu,metric,0,0,0,0.0,0.0,0.0,results/ablation/no_ar/metric/online_boutique/cartservice_cpu_run2.json,6,1105.4594158254981,"[""cartservice_cpu""]",2,0.8485333179292793
0,0,0,0.0,0.0,0.0,results/main/amber/metric/online_boutique/cartservice_cpu_run3.json,10,363.6249472909658,online_boutique,0.0,0.0,-1.0,0.0,0.0,-0.2,5,-679.8260350332914,cartservice_cpu,metric,0,0,1,0.0,0.0,0.2,results/ablation/no_ar/metric/online_boutique/cartservice_cpu_run3.json,5,1043.4509823242572,"[""cartservice_cpu""]",3,0.9385914384187531
0,0,0,0.0,0.0,0.0,results/main/amber/metric/online_boutique/cartservice_cpu_run4.json,15,590.2123884368157,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,8,-550.3766093030467,cartservice_cpu,metric,0,0,0,0.0,0.0,0.0,results/ablation/no_ar/metric/online_boutique/cartservice_cpu_run4.json,7,1140.5889977398624,"[""cartservice_cpu""]",4,0.8915887288703571
0,0,0,0.0,0.0,0.0,results/main/amber/metric/online_boutique/cartservice_cpu_run5.json,11,583.7655936184874,online_boutique,0.0,0.0,-1.0,0.0,0.0,-0.2,5,-474.22125782260696,cartservice_cpu,metric,0,0,1,0.0,0.0,0.2,results/ablation/no_ar/metric/online_boutique/cartservice_cpu_run5.json,6,1057.9868514410944,"[""cartservice_cpu""]",5,0.8740343829585571
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/metric/online_boutique/cartservice_delay_run1.json,2,3142.6933442656045,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-23.251610407663975,cartservice_delay,metric,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/metric/online_boutique/cartservice_delay_run1.json,2,3165.9449546732685,"[""cartservice_latency-50"", ""cartservice_latency-90""]",1,0.01615463130803107
1,1,1,1.0,1.0,1.0,results/main/amber/metric/online_boutique/cartservice_delay_run2.json,1,2666.2845591739397,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,63.33610641188125,cartservice_delay,metric,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/metric/online_boutique/cartservice_delay_run2.json,1,2602.9484527620584,"[""cartservice_latency-50"", ""cartservice_latency-90""]",2,0.9150598419456247
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/metric/online_boutique/cartservice_delay_run3.json,2,2599.2907880556845,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,34.5089219368233,cartservice_delay,metric,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/metric/online_boutique/cartservice_delay_run3.json,2,2564.781866118861,"[""cartservice_latency-50"", ""cartservice_latency-90""]",3,0.9198353349195985
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/metric/online_boutique/cartservice_delay_run4.json,2,2608.329665612215,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,47.62741152583794,cartservice_delay,metric,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/metric/online_boutique/cartservice_delay_run4.json,2,2560.7022540863773,"[""cartservice_latency-50"", ""cartservice_latency-90""]",4,0.9304144898361576
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/metric/online_boutique/cartservice_delay_run5.json,2,2550.151893084191,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,63.915519255205254,cartservice_delay,metric,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/metric/online_boutique/cartservice_delay_run5.json,2,2486.236373828986,"[""cartservice_latency-50"", ""cartservice_latency-90""]",5,0.9234088837131953
