amber_AC@1,amber_AC@3,amber_AC@5,amber_Avg@1,amber_Avg@3,amber_Avg@5,amber_result_file,ar_root_rank,ar_root_score,dataset,delta_AC@1,delta_AC@3,delta_AC@5,delta_Avg@1,delta_Avg@3,delta_Avg@5,delta_root_rank,delta_root_score,fault_type,granularity,no_ar_AC@1,no_ar_AC@3,no_ar_AC@5,no_ar_Avg@1,no_ar_Avg@3,no_ar_Avg@5,no_ar_result_file,raw_root_rank,raw_root_score,root_cause_members,run_id,sum_phi
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_cpu_run1.json,1,1205.180971030208,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-562.1299186152969,cartservice_cpu,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_cpu_run1.json,1,1767.3108896455049,"[""cartservice""]",1,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_cpu_run2.json,2,1171.3936989262486,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-396.1122627980667,cartservice_cpu,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_cpu_run2.json,2,1567.5059617243153,"[""cartservice""]",2,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_cpu_run3.json,1,1170.3383333189568,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-340.26479077640147,cartservice_cpu,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_cpu_run3.json,1,1510.6031240953582,"[""cartservice""]",3,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_cpu_run4.json,1,1309.4314894037564,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-360.01214994035445,cartservice_cpu,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_cpu_run4.json,1,1669.4436393441108,"[""cartservice""]",4,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_cpu_run5.json,1,1180.470066165428,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-489.81440699836503,cartservice_cpu,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_cpu_run5.json,1,1670.284473163793,"[""cartservice""]",5,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_delay_run1.json,2,2009.9205103963707,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-80.58194199176182,cartservice_delay,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_delay_run1.json,2,2090.5024523881325,"[""cartservice""]",1,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_delay_run2.json,1,1072.5586594685753,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-86.37965792613659,cartservice_delay,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_delay_run2.json,1,1158.938317394712,"[""cartservice""]",2,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_delay_run3.json,1,1080.3355047585262,online_boutique,1.0,0.0,0.0,1.0,0.33333333333333337,0.19999999999999996,-1,-75.74661762895016,cartservice_delay,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_delay_run3.json,2,1156.0821223874764,"[""cartservice""]",3,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_delay_run4.json,2,1058.7625948168666,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-139.95309157466068,cartservice_delay,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_delay_run4.json,2,1198.7156863915272,"[""cartservice""]",4,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_delay_run5.json,2,1030.464764468168,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-140.68755560403565,cartservice_delay,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_delay_run5.json,2,1171.1523200722036,"[""cartservice""]",5,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_loss_run1.json,1,1166.0521864084915,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-181.43049993181285,cartservice_loss,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_loss_run1.json,1,1347.4826863403043,"[""cartservice""]",1,
0,1,1,0.0,0.3333333333333333,0.6,results/main/amber/service/online_boutique/cartservice_loss_run2.json,3,202.99287022000593,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-138.0637304807622,cartservice_loss,service,0,1,1,0.0,0.3333333333333333,0.6,results/ablation/no_ar/service/online_boutique/cartservice_loss_run2.json,3,341.0566007007681,"[""cartservice""]",2,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_loss_run3.json,1,526.9265845189636,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-118.22121633528513,cartservice_loss,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_loss_run3.json,1,645.1478008542488,"[""cartservice""]",3,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_loss_run4.json,2,561.301369135378,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,92.55370403169434,cartservice_loss,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_loss_run4.json,2,468.74766510368363,"[""cartservice""]",4,
1,1,1,1.0,1.0,1.0,results/main/amber/service/online_boutique/cartservice_loss_run5.json,1,1257.93270498019,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,291.5082992190272,cartservice_loss,service,1,1,1,1.0,1.0,1.0,results/ablation/no_ar/service/online_boutique/cartservice_loss_run5.json,1,966.4244057611628,"[""cartservice""]",5,
0,1,1,0.0,0.3333333333333333,0.6,results/main/amber/service/online_boutique/cartservice_mem_run1.json,3,1417.934826564331,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-361.52565346135043,cartservice_mem,service,0,1,1,0.0,0.3333333333333333,0.6,results/ablation/no_ar/service/online_boutique/cartservice_mem_run1.json,3,1779.4604800256814,"[""cartservice""]",1,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_mem_run2.json,2,1925.66185090041,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-233.92744780028738,cartservice_mem,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_mem_run2.json,2,2159.5892987006973,"[""cartservice""]",2,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_mem_run3.json,2,1855.4097193874925,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-142.01515939025376,cartservice_mem,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_mem_run3.json,2,1997.4248787777462,"[""cartservice""]",3,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_mem_run4.json,2,2301.504436638866,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,32.46316871756744,cartservice_mem,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_mem_run4.json,2,2269.0412679212986,"[""cartservice""]",4,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/cartservice_mem_run5.json,2,2326.6271456804006,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-103.99168327337065,cartservice_mem,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/cartservice_mem_run5.json,2,2430.6188289537713,"[""cartservice""]",5,
0,1,1,0.0,0.6666666666666666,0.8,results/main/amber/service/online_boutique/checkoutservice_cpu_run1.json,2,1543.7245594159806,online_boutique,0.0,0.0,0.0,0.0,0.0,0.0,0,-298.85017003519715,checkoutservice_cpu,service,0,1,1,0.0,0.6666666666666666,0.8,results/ablation/no_ar/service/online_boutique/checkoutservice_cpu_run1.json,2,1842.5747294511777,"[""checkoutservice""]",1,
