case_id,dataset,fault_type,root_cause_service,residualization,fit_samples,pseudo_abnormal_samples,n_metrics,n_services,max_service_score,median_service_score,p90_service_score,positive_service_fraction,top_service,metrics_with_any_clip,mean_metric_clip_fraction
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,raw,300,300,50,15,395.4401764815109,48.61438643994779,246.8794368750735,0.8,recommendationservice,0,0.0
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,ar,300,300,50,15,306.912352058545,20.428824394310016,169.8012924322621,0.6666666666666666,recommendationservice,0,0.0
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,counterfactual_ar,300,300,50,15,342.1278304287878,103.53948127101201,297.4229113241,0.8,main,2,0.04
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,raw,300,300,50,15,614.1863708435487,38.56730668262086,291.5448878891835,0.8666666666666667,frontend-external,0,0.0
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,ar,300,300,50,15,614.4372442749806,19.701002929791553,186.31795362170578,0.6666666666666666,frontend-external,0,0.0
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,counterfactual_ar,300,300,50,15,614.4025775203515,118.6552602645789,340.8991687009891,0.8666666666666667,frontend-external,3,0.06
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,raw,300,300,50,15,2016.9864987935048,94.14764578728318,451.3420989571566,0.8,frontend-external,0,0.0
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,ar,300,300,50,15,1997.0331820796432,27.42955055463479,294.97231949973354,0.6666666666666666,frontend-external,0,0.0
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,counterfactual_ar,300,300,50,15,1997.251432654434,95.98005746462529,474.16166642891494,0.8666666666666667,frontend-external,4,0.07226666666666666
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,raw,300,300,50,15,299.3703973799084,-0.6633330092664474,194.87286190960577,0.4666666666666667,emailservice,0,0.0
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,ar,300,300,50,15,294.6944953391606,-8.132187266109517,42.769030006637166,0.2,emailservice,0,0.0
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,counterfactual_ar,300,300,50,15,550.0190999504854,306.87509699244,487.85878602598035,0.8,currencyservice,4,0.08
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,raw,300,300,50,15,1342.3684532316563,15.969542469035295,226.5723008643602,0.6,frontend,0,0.0
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,ar,300,300,50,15,1330.1219797186325,-6.378723287032358,156.5486842578247,0.4,frontend,0,0.0
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,counterfactual_ar,300,300,50,15,1577.5956122864375,286.8626483620039,509.8849123871562,0.8,frontend,2,0.04
re1_ob__adservice_delay__1,re1_ob,delay,adservice,raw,180,180,47,13,352.1700175535154,96.37056751918385,314.25870066291765,0.9230769230769231,emailservice,0,0.0
re1_ob__adservice_delay__1,re1_ob,delay,adservice,ar,180,180,47,13,347.08638394340676,28.327008350474546,259.4994596269036,0.7692307692307693,frontend-external,0,0.0
re1_ob__adservice_delay__1,re1_ob,delay,adservice,counterfactual_ar,180,180,47,13,354.5450842700903,135.7851803542521,330.9320811730397,1.0,emailservice,0,0.0
re1_ob__adservice_delay__2,re1_ob,delay,adservice,raw,180,180,47,13,232.7187160393033,5.1758951596859974,221.92596606350412,0.6923076923076923,checkoutservice,0,0.0
re1_ob__adservice_delay__2,re1_ob,delay,adservice,ar,180,180,47,13,226.23001290788451,0.27631615483068117,183.76946053243427,0.5384615384615384,adservice,0,0.0
re1_ob__adservice_delay__2,re1_ob,delay,adservice,counterfactual_ar,180,180,47,13,270.22057073374066,24.80557206533827,254.92863004987223,0.9230769230769231,adservice,5,0.10614657210401891
re1_ob__adservice_delay__3,re1_ob,delay,adservice,raw,180,180,47,13,272.85849535539006,60.45825126691408,229.78599720787437,0.9230769230769231,cartservice,0,0.0
re1_ob__adservice_delay__3,re1_ob,delay,adservice,ar,180,180,47,13,226.9387238026089,21.590587319504323,206.9103805530139,0.6923076923076923,adservice,0,0.0
re1_ob__adservice_delay__3,re1_ob,delay,adservice,counterfactual_ar,180,180,47,13,263.8574618714359,100.02270800485933,184.24934439949175,0.9230769230769231,adservice,5,0.10472813238770687
re1_ob__adservice_delay__4,re1_ob,delay,adservice,raw,180,180,47,13,344.16259027357717,71.74041662872888,280.8979861781008,0.9230769230769231,frontend-external,0,0.0
re1_ob__adservice_delay__4,re1_ob,delay,adservice,ar,180,180,47,13,344.45333207269044,45.30845227828627,223.8300350039256,0.7692307692307693,frontend-external,0,0.0
re1_ob__adservice_delay__4,re1_ob,delay,adservice,counterfactual_ar,180,180,47,13,352.54030726692025,106.88647725909793,335.44570480724997,1.0,adservice,5,0.10614657210401891
re1_ob__adservice_delay__5,re1_ob,delay,adservice,raw,180,180,48,13,1210.5043338893688,77.06806658887746,290.31717809216724,1.0,frontend-external,0,0.0
re1_ob__adservice_delay__5,re1_ob,delay,adservice,ar,180,180,48,13,1189.222326342587,43.241543012107265,227.5640197247345,0.8461538461538461,frontend-external,0,0.0
re1_ob__adservice_delay__5,re1_ob,delay,adservice,counterfactual_ar,180,180,48,13,1188.975473451586,107.96405807864083,262.8046948290592,1.0,frontend-external,5,0.10347222222222223
re1_ob__adservice_disk__1,re1_ob,disk,adservice,raw,180,180,46,13,191.63429349033936,29.805906083949537,174.1675548297114,0.9230769230769231,redis,0,0.0
re1_ob__adservice_disk__1,re1_ob,disk,adservice,ar,180,180,46,13,191.48393171628544,5.889624949955703,115.89747051627516,0.7692307692307693,redis,0,0.0
re1_ob__adservice_disk__1,re1_ob,disk,adservice,counterfactual_ar,180,180,46,13,210.5043882706575,83.09157081601126,184.67048863406256,0.9230769230769231,recommendationservice,1,0.021739130434782608
re1_ob__adservice_disk__2,re1_ob,disk,adservice,raw,180,180,47,13,81.55711530739256,10.547602228723653,18.131870216332466,0.8461538461538461,adservice,0,0.0
re1_ob__adservice_disk__2,re1_ob,disk,adservice,ar,180,180,47,13,57.24998552448424,0.13587908241007796,10.419894053214373,0.5384615384615384,adservice,0,0.0
re1_ob__adservice_disk__2,re1_ob,disk,adservice,counterfactual_ar,180,180,47,13,150.2557513020935,62.67020965442274,121.75773873205478,0.9230769230769231,adservice,0,0.0
re1_ob__adservice_disk__3,re1_ob,disk,adservice,raw,180,180,47,13,209.66206564760932,30.573840123127127,179.41924632056487,0.9230769230769231,emailservice,0,0.0
re1_ob__adservice_disk__3,re1_ob,disk,adservice,ar,180,180,47,13,201.24131614256984,15.410172676679792,136.63694190938853,0.7692307692307693,redis,0,0.0
re1_ob__adservice_disk__3,re1_ob,disk,adservice,counterfactual_ar,180,180,47,13,198.59818057122936,115.73972599202995,150.4325084430678,0.9230769230769231,cartservice,0,0.0
re1_ob__adservice_disk__4,re1_ob,disk,adservice,raw,180,180,47,13,135.07455423169412,16.847706883335757,116.10353153973735,0.6923076923076923,cartservice,0,0.0
re1_ob__adservice_disk__4,re1_ob,disk,adservice,ar,180,180,47,13,146.94322927082774,2.3879309010401357,94.6798740643689,0.6923076923076923,cartservice,0,0.0
re1_ob__adservice_disk__4,re1_ob,disk,adservice,counterfactual_ar,180,180,47,13,223.85442026476153,54.72848295380291,199.45566268943114,0.9230769230769231,paymentservice,1,0.02127659574468085
re1_ob__adservice_disk__5,re1_ob,disk,adservice,raw,180,180,47,13,232.99599685286753,75.323033336688,191.75906390512813,0.9230769230769231,cartservice,0,0.0
re1_ob__adservice_disk__5,re1_ob,disk,adservice,ar,180,180,47,13,207.63379613486782,63.38112535430363,155.1155316608612,0.7692307692307693,cartservice,0,0.0
re1_ob__adservice_disk__5,re1_ob,disk,adservice,counterfactual_ar,180,180,47,13,347.1747340482555,122.71754370700035,208.9933589711731,0.9230769230769231,recommendationservice,0,0.0
re1_ob__adservice_loss__1,re1_ob,loss,adservice,raw,180,180,49,13,226.2973892461341,60.799960366558274,142.542459107407,0.8461538461538461,cartservice,0,0.0
re1_ob__adservice_loss__1,re1_ob,loss,adservice,ar,180,180,49,13,219.70861684916747,14.510571081078288,59.564485313201395,0.6923076923076923,cartservice,0,0.0
re1_ob__adservice_loss__1,re1_ob,loss,adservice,counterfactual_ar,180,180,49,13,194.18412000098647,61.81605945558817,175.93880965867058,0.9230769230769231,main,2,0.04081632653061224
re1_ob__adservice_loss__2,re1_ob,loss,adservice,raw,180,180,49,13,883.4553346638512,78.39708557265114,184.32439291544821,0.8461538461538461,frontend,0,0.0
re1_ob__adservice_loss__2,re1_ob,loss,adservice,ar,180,180,49,13,832.0595356751461,33.89468398727677,128.83906651084476,0.6923076923076923,frontend,0,0.0
re1_ob__adservice_loss__2,re1_ob,loss,adservice,counterfactual_ar,180,180,49,13,821.5710482481544,106.71617440203545,239.12364439274646,0.9230769230769231,frontend,2,0.04081632653061224
re1_ob__adservice_loss__3,re1_ob,loss,adservice,raw,180,180,49,13,306.36071185695744,14.635161821598691,150.0523853618373,0.6923076923076923,redis,0,0.0
re1_ob__adservice_loss__3,re1_ob,loss,adservice,ar,180,180,49,13,230.1111263166718,-1.3370684823285615,83.23281918647304,0.46153846153846156,redis,0,0.0
re1_ob__adservice_loss__3,re1_ob,loss,adservice,counterfactual_ar,180,180,49,13,212.40273470696906,63.71839998913123,155.3019321613679,0.8461538461538461,main,2,0.04081632653061224
re1_ob__adservice_loss__4,re1_ob,loss,adservice,raw,180,180,49,13,173.73401453610103,20.52950066450639,99.02452493195398,0.7692307692307693,main,0,0.0
re1_ob__adservice_loss__4,re1_ob,loss,adservice,ar,180,180,49,13,29.759012790883038,6.360055366373317,28.142312483696614,0.5384615384615384,paymentservice,0,0.0
re1_ob__adservice_loss__4,re1_ob,loss,adservice,counterfactual_ar,180,180,49,13,156.417847918441,69.47535311056065,138.62314930635512,0.9230769230769231,recommendationservice,3,0.061224489795918366
re1_ob__adservice_loss__5,re1_ob,loss,adservice,raw,180,180,49,13,236.28440554710497,46.60206617127593,131.5564928412326,0.8461538461538461,recommendationservice,0,0.0
re1_ob__adservice_loss__5,re1_ob,loss,adservice,ar,180,180,49,13,166.9262088438235,16.150320254883678,96.59954244410173,0.6153846153846154,recommendationservice,0,0.0
re1_ob__adservice_loss__5,re1_ob,loss,adservice,counterfactual_ar,180,180,49,13,301.2359835450783,70.91455196634944,175.64409561298268,0.9230769230769231,frontend,1,0.02040816326530612
re1_ob__adservice_mem__1,re1_ob,mem,adservice,raw,300,300,50,15,149.53294842534518,-1.7868838903080473,105.74679779415213,0.4,frontend-external,0,0.0
re1_ob__adservice_mem__1,re1_ob,mem,adservice,ar,300,300,50,15,22.581547135588778,-7.415358031864002,11.458556807548518,0.3333333333333333,frontend-external,0,0.0
re1_ob__adservice_mem__1,re1_ob,mem,adservice,counterfactual_ar,300,300,50,15,359.2252193655252,282.1609691202446,335.8481435673652,0.8,currencyservice,4,0.08
re1_ob__adservice_mem__2,re1_ob,mem,adservice,raw,300,300,50,15,455.58459692379046,18.781118918504678,286.2156278102251,0.6,main,0,0.0
re1_ob__adservice_mem__2,re1_ob,mem,adservice,ar,300,300,50,15,286.06857494343404,0.9872778894546173,155.8089777711887,0.5333333333333333,recommendationservice,0,0.0
re1_ob__adservice_mem__2,re1_ob,mem,adservice,counterfactual_ar,300,300,50,15,749.7396650537307,287.7880700747007,439.0968657584921,0.8,main,3,0.06
re1_ob__adservice_mem__3,re1_ob,mem,adservice,raw,300,300,50,15,356.96380592863534,-2.133358313649751,276.6852876563154,0.4666666666666667,emailservice,0,0.0
