ar_rank,ar_result_file,case_id,dataset,delta,fault_type,movement,raw_rank,raw_result_file,root_cause_service
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_cpu__1.json,re1_ob__adservice_cpu__1,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_cpu__1.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_cpu__2.json,re1_ob__adservice_cpu__2,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_cpu__2.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_cpu__3.json,re1_ob__adservice_cpu__3,re1_ob,-1,cpu,worsened,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_cpu__3.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_cpu__4.json,re1_ob__adservice_cpu__4,re1_ob,0,cpu,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_cpu__4.json,adservice
2,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_cpu__5.json,re1_ob__adservice_cpu__5,re1_ob,0,cpu,same,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_cpu__5.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_delay__1.json,re1_ob__adservice_delay__1,re1_ob,0,delay,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_delay__1.json,adservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_delay__2.json,re1_ob__adservice_delay__2,re1_ob,1,delay,improved,4,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_delay__2.json,adservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_delay__3.json,re1_ob__adservice_delay__3,re1_ob,-1,delay,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_delay__3.json,adservice
3,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_delay__4.json,re1_ob__adservice_delay__4,re1_ob,-1,delay,worsened,2,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_delay__4.json,adservice
1,results/main/rcaeval_re1/amber_zenodo_v2/service/re1_ob/re1_ob__adservice_delay__5.json,re1_ob__adservice_delay__5,re1_ob,0,delay,same,1,results/ablation/rcaeval_re1/no_ar/service/re1_ob/re1_ob__adservice_delay__5.json,adservice
