case_id,dataset,fault_type,root_cause_service,raw_rank,observed_ar_rank,counterfactual_ar_rank,stationary_ar_rank,stationary_counterfactual_ar_rank,stationary_counterfactual_ar_uncertainty_rank
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,2,2,2,2,2,2
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,1,1,1,1,1,1
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,1,2,1,2,1,1
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,1,1,1,1,1,1
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,2,2,2,2,2,2
re1_ob__adservice_delay__1,re1_ob,delay,adservice,1,1,1,1,1,1
re1_ob__adservice_delay__2,re1_ob,delay,adservice,4,3,3,3,4,3
re1_ob__adservice_delay__3,re1_ob,delay,adservice,2,3,3,3,3,2
re1_ob__adservice_delay__4,re1_ob,delay,adservice,2,3,2,3,2,2
re1_ob__adservice_delay__5,re1_ob,delay,adservice,1,1,1,1,1,1
re1_ob__adservice_disk__1,re1_ob,disk,adservice,1,1,1,1,1,1
re1_ob__adservice_disk__2,re1_ob,disk,adservice,1,1,1,1,1,1
re1_ob__adservice_disk__3,re1_ob,disk,adservice,1,1,1,1,1,1
re1_ob__adservice_disk__4,re1_ob,disk,adservice,1,1,1,1,1,1
re1_ob__adservice_disk__5,re1_ob,disk,adservice,1,1,1,1,1,1
re1_ob__adservice_loss__1,re1_ob,loss,adservice,1,1,1,1,1,1
re1_ob__adservice_loss__2,re1_ob,loss,adservice,2,2,2,2,2,2
re1_ob__adservice_loss__3,re1_ob,loss,adservice,1,1,1,1,1,1
re1_ob__adservice_loss__4,re1_ob,loss,adservice,1,1,1,1,1,1
re1_ob__adservice_loss__5,re1_ob,loss,adservice,1,1,1,1,1,1
re1_ob__adservice_mem__1,re1_ob,mem,adservice,1,1,1,1,1,1
re1_ob__adservice_mem__2,re1_ob,mem,adservice,2,3,2,3,2,2
re1_ob__adservice_mem__3,re1_ob,mem,adservice,1,1,1,1,1,1
re1_ob__adservice_mem__4,re1_ob,mem,adservice,2,2,1,2,1,2
re1_ob__adservice_mem__5,re1_ob,mem,adservice,2,2,2,2,2,2
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,1,2,1,2,1,1
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,2,2,2,2,2,2
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,2,2,2,2,2,2
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,3,3,3,3,3,3
re1_ob__cartservice_cpu__5,re1_ob,cpu,cartservice,2,2,2,2,2,2
re1_ob__cartservice_delay__1,re1_ob,delay,cartservice,2,2,3,2,3,3
re1_ob__cartservice_delay__2,re1_ob,delay,cartservice,6,5,2,5,2,2
re1_ob__cartservice_delay__3,re1_ob,delay,cartservice,5,5,2,5,2,4
re1_ob__cartservice_delay__4,re1_ob,delay,cartservice,3,2,2,2,2,2
re1_ob__cartservice_delay__5,re1_ob,delay,cartservice,3,4,3,4,3,3
re1_ob__cartservice_disk__1,re1_ob,disk,cartservice,1,3,1,3,1,1
re1_ob__cartservice_disk__2,re1_ob,disk,cartservice,1,2,1,2,1,1
re1_ob__cartservice_disk__3,re1_ob,disk,cartservice,2,2,1,2,1,1
re1_ob__cartservice_disk__4,re1_ob,disk,cartservice,1,1,1,1,1,1
re1_ob__cartservice_disk__5,re1_ob,disk,cartservice,1,1,1,1,1,1
re1_ob__cartservice_loss__1,re1_ob,loss,cartservice,1,1,1,1,1,1
re1_ob__cartservice_loss__2,re1_ob,loss,cartservice,7,9,3,9,3,7
re1_ob__cartservice_loss__3,re1_ob,loss,cartservice,2,2,1,2,1,2
re1_ob__cartservice_loss__4,re1_ob,loss,cartservice,2,2,1,2,1,2
re1_ob__cartservice_loss__5,re1_ob,loss,cartservice,3,1,2,1,2,1
re1_ob__cartservice_mem__1,re1_ob,mem,cartservice,2,2,2,2,2,2
re1_ob__cartservice_mem__2,re1_ob,mem,cartservice,2,2,2,2,2,2
re1_ob__cartservice_mem__3,re1_ob,mem,cartservice,1,1,1,1,1,1
re1_ob__cartservice_mem__4,re1_ob,mem,cartservice,1,2,1,2,1,1
re1_ob__cartservice_mem__5,re1_ob,mem,cartservice,2,2,1,2,1,2
re1_ob__checkoutservice_cpu__1,re1_ob,cpu,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_cpu__2,re1_ob,cpu,checkoutservice,1,1,1,1,1,1
re1_ob__checkoutservice_cpu__3,re1_ob,cpu,checkoutservice,2,2,2,2,2,2
re1_ob__checkoutservice_cpu__4,re1_ob,cpu,checkoutservice,1,2,1,2,1,1
