ar_rank,case_id,dataset,fault_type,median_top3_union_ar_early_to_late_decay_fraction,median_top3_union_ar_initial_to_late_decay_fraction,median_top3_union_ar_initial_to_late_retention_ratio,median_top3_union_ar_late_to_early_shift_ratio,median_top3_union_ar_score_minus_raw_score,median_top3_union_raw_late_to_early_shift_ratio,median_top3_union_raw_shift_abs,median_top3_union_raw_shift_sign_consistency,median_top3_union_signal_retention_ratio,median_top3_union_sum_phi,movement,n_root_metrics,n_service_top3_union_metrics,rank_delta,raw_rank,root_cause_service
2,re1_ob__adservice_cpu__1,re1_ob,cpu,7.830280945420043e-06,-264.72385717510747,265.72385717510747,0.9999921697190546,-883.4015543413989,0.9391727877278269,98.32167820790008,0.9966666666666667,0.11220677959487949,0.7914434600568201,same,4,3,0,2,adservice
1,re1_ob__adservice_cpu__2,re1_ob,cpu,0.25380259221062174,-0.9450208575968075,1.9450208575968075,0.7461974077893783,-634.3839886235019,0.9859894921190894,98.3639433832639,1.0,0.2947287150281449,0.7052629646133685,same,4,3,0,1,adservice
2,re1_ob__adservice_cpu__3,re1_ob,cpu,0.05319625311866383,-534.5140876165524,535.5140876165524,0.9468037468813362,-975.9258732173339,0.9467997939792762,98.36297558599935,1.0,0.10676845115732089,0.8310099038015993,worsened,4,3,-1,1,adservice
1,re1_ob__adservice_cpu__4,re1_ob,cpu,-0.09734172592957635,0.9727004296909896,0.02729957030901046,1.0973417259295764,-1355.1140236108304,1.1775353002336557,94.22378434549549,0.9866666666666667,0.02274144466958365,0.9772585553304153,same,4,3,0,1,adservice
2,re1_ob__adservice_cpu__5,re1_ob,cpu,-0.044936894464501775,,,1.0449368944645019,-1332.5829091997339,1.0869955156950672,92.98034517519366,0.9916666666666667,0.02263039960113052,0.9774316096909157,same,4,3,0,2,adservice
1,re1_ob__adservice_delay__1,re1_ob,delay,-0.003220704438583688,-6077.208074282988,6078.208074282988,1.0032207044385837,-49.104549973372514,1.069350663109213,0.215334358974359,0.7617728531855956,0.5074342358989867,0.8099212054344731,same,4,3,0,1,adservice
3,re1_ob__adservice_delay__2,re1_ob,delay,-0.07068765308579805,0.5981317291302457,0.40186827086975435,1.070687653085798,-18.810131700007673,1.070862164362233,1.1132193884806898,0.6952908587257618,0.20988485990448966,0.7538670699994928,improved,4,4,1,4,adservice
3,re1_ob__adservice_delay__3,re1_ob,delay,-0.0021533624446021804,,,1.0021533624446022,-71.09382077127663,1.7546103828040858,0.10994551938284457,0.9224376731301939,0.13233911581375438,0.8331643204058503,worsened,4,4,-1,2,adservice
3,re1_ob__adservice_delay__4,re1_ob,delay,-0.004135367344446195,,,1.0041353673444462,-74.67531108659131,1.3728393261986946,0.10939412024935008,1.0,0.10649987087343969,0.7392819047048533,worsened,4,4,-1,2,adservice
1,re1_ob__adservice_delay__5,re1_ob,delay,-0.3655883655296749,-5869.426228137192,5870.426228137192,1.3655883655296748,-24.98249387260148,1.365586615260677,0.21565733855185915,0.9903047091412742,0.523701550302402,0.0008099080304214672,same,4,3,0,1,adservice
1,re1_ob__adservice_disk__1,re1_ob,disk,-0.0011767974090746147,-91.44087697358732,92.44087697358732,1.0011767974090746,-412.32080160822943,1.0002772509293412,26.75514279747633,0.9944598337950139,0.2393054568546996,0.7606214809225169,same,5,3,0,1,adservice
1,re1_ob__adservice_disk__2,re1_ob,disk,-0.007575726047099496,,,1.0075757260470994,-511.63225529364536,0.989621471455747,25.933499608227798,0.9916897506925207,0.20636633160803097,0.7941613866993713,same,5,3,0,1,adservice
1,re1_ob__adservice_disk__3,re1_ob,disk,-0.07335987855585135,-8.16817956813448,9.16817956813448,1.0733598785558514,-360.4545671531914,1.0010206651761306,26.541094519183364,0.9944598337950139,0.17315760958824253,0.8268703236631999,same,5,3,0,1,adservice
1,re1_ob__adservice_disk__4,re1_ob,disk,-0.044092354070577766,,,1.0440923540705778,-395.9309626871204,1.0423799282969812,26.77742094093593,0.9750692520775623,0.2606151620090973,0.739378279230967,same,5,3,0,1,adservice
1,re1_ob__adservice_disk__5,re1_ob,disk,-0.012461405096174438,-80.6767268334154,81.6767268334154,1.0124614050961744,-301.6114968077127,1.010443827216381,26.791735386608504,0.9806094182825484,0.22522996448349034,0.7751812593071282,same,5,3,0,1,adservice
1,re1_ob__adservice_loss__1,re1_ob,loss,0.008652822480267108,-3710.655081154914,3711.655081154914,0.9913471775197329,-24.825845543668038,1.3782369191367492,0.1635861298248323,0.961218836565097,0.503622629327578,0.8967613989645903,same,4,3,0,1,adservice
2,re1_ob__adservice_loss__2,re1_ob,loss,0.3431840881565167,,,0.6568159118434833,-237.47341240990613,0.8651603981227584,0.03689291962859498,1.0,0.27254570233150427,0.7648448659444368,same,4,3,0,2,adservice
1,re1_ob__adservice_loss__3,re1_ob,loss,-0.4115270839346431,-0.1166464155528788,1.1166464155528788,1.4115270839346432,-260.17828491563614,1.4141567055517101,0.0020031219180581816,1.0,0.5122459519089813,0.8198907683617541,same,4,3,0,1,adservice
1,re1_ob__adservice_loss__4,re1_ob,loss,-0.2861510249335022,-1.9238940213513878,2.923894021351388,1.2861510249335022,-22.090463606167077,1.2865797570336215,0.00877306986858245,0.5955678670360111,1.0003056321313903,0.8662012628466859,same,4,3,0,1,adservice
1,re1_ob__adservice_loss__5,re1_ob,loss,0.32975204260599794,0.2333713144467926,0.7666286855532074,0.6702479573940021,-183.27700933765345,0.8511736801737806,0.03110324376378859,0.8088642659279779,0.22471106768946114,0.7684994827671336,same,4,3,0,1,adservice
1,re1_ob__adservice_mem__1,re1_ob,mem,-0.010863072767200999,-42.68080527337111,43.68080527337111,1.010863072767201,-806.1486870568115,1.0213827575588532,90.16882058286873,0.99,0.017935422961246006,0.9827969405196442,same,4,3,0,1,adservice
3,re1_ob__adservice_mem__2,re1_ob,mem,-0.0587224192064677,,,1.0587224192064677,-603.5665018283858,1.0587224192064677,87.79539308358366,0.9816666666666667,0.018678888367118056,0.9813211116328819,worsened,4,3,-1,2,adservice
1,re1_ob__adservice_mem__3,re1_ob,mem,0.0037159139869888946,-36.282758289145235,37.282758289145235,0.9962840860130111,-895.0339477312418,0.9973537568400721,90.58995311785962,0.9816666666666667,0.03102034748874549,0.9690342856025895,same,4,3,0,1,adservice
2,re1_ob__adservice_mem__4,re1_ob,mem,0.05806880667595837,,,0.9419311933240416,-827.3438006016977,1.003847070719633,90.00195165433364,1.0,0.017337686318540824,0.9821606893604617,same,4,3,0,2,adservice
2,re1_ob__adservice_mem__5,re1_ob,mem,-0.07574210318759689,-47.97696414244959,48.97696414244959,1.0757421031875969,-566.6147144491088,1.0130373734648925,88.20119914674034,0.98,0.007166881360562424,0.9928331113941724,same,4,3,0,2,adservice
2,re1_ob__cartservice_cpu__1,re1_ob,cpu,0.0034366445700651505,-56.01827989548494,57.01827989548494,0.9965633554299349,-1449.5506187323876,0.9961403738126258,90.92646965458754,1.0,0.04734752549521226,0.9610905432246182,worsened,4,3,-1,1,cartservice
2,re1_ob__cartservice_cpu__2,re1_ob,cpu,-0.0019597281456539273,0.6716685395788152,0.3283314604211848,1.0019597281456538,-663.9268776918905,1.000775270396857,49.48332167572186,0.8941666666666667,0.07731072256439403,0.9227805761102328,same,4,4,0,2,cartservice
2,re1_ob__cartservice_cpu__3,re1_ob,cpu,-0.008083098137026568,-36.846424942430865,37.846424942430865,1.0080830981370266,-1391.829507079608,1.0078472614927545,90.91524865343625,0.9766666666666667,0.06042610276115362,0.9584866874399184,same,4,3,0,2,cartservice
3,re1_ob__cartservice_cpu__4,re1_ob,cpu,-0.005480732180722647,-80.79147071166135,81.79147071166135,1.0054807321807226,-1327.9355982806028,1.0055340818264569,90.83752579120753,1.0,0.0707842896438588,0.9405035612229875,same,4,3,0,3,cartservice
2,re1_ob__cartservice_cpu__5,re1_ob,cpu,-0.0014669661775016385,,,1.0014669661775017,-600.8945608881081,1.0045755071129676,48.50621646427656,0.9025000000000001,0.09112089534705828,0.9089464490884491,same,4,4,0,2,cartservice
2,re1_ob__cartservice_delay__1,re1_ob,delay,0.03880986166053835,-1909.5531182086804,1910.5531182086804,0.9611901383394617,-52.99440526763169,0.9596265042418384,4.353353105573354,0.871191135734072,0.04183756692551933,0.47876570462158546,same,4,4,0,2,cartservice
5,re1_ob__cartservice_delay__2,re1_ob,delay,0.03089358833929856,,,0.9691064116607014,-27.75468440513707,1.0730355876931423,6.302875976590247,0.7160664819944599,0.08131645321953095,0.9132269641439906,improved,4,4,1,6,cartservice
5,re1_ob__cartservice_delay__3,re1_ob,delay,-0.06200530589810693,,,1.062005305898107,-12.424795816831363,1.0592350334549294,6.246135357716898,0.7382271468144044,0.09174045978120902,0.9054677187633888,same,4,4,0,5,cartservice
2,re1_ob__cartservice_delay__4,re1_ob,delay,-0.08366198196566432,,,1.0836619819656643,-135.84976605859185,1.1814883979642914,4.493429978103091,0.8642659279778393,0.06353763182280295,0.9324131903227277,improved,4,4,1,3,cartservice
4,re1_ob__cartservice_delay__5,re1_ob,delay,-0.020826354523746593,0.6766443221867968,0.32335567781320323,1.0208263545237466,-195.3691730586131,1.0252301938737385,6.450860335368747,0.9667590027700832,0.11080327170582456,0.9227816686936715,worsened,4,4,-1,3,cartservice
3,re1_ob__cartservice_disk__1,re1_ob,disk,-0.008764351800158998,-6.249551988933603,7.249551988933603,1.008764351800159,-471.6494353575281,1.0100473145395918,22.08987492333776,0.9667590027700831,0.05797465002676812,0.9421274394469011,worsened,4,3,-2,1,cartservice
2,re1_ob__cartservice_disk__2,re1_ob,disk,-0.004750555472635698,,,1.0047505554726357,-697.6106360385834,1.0044716475758877,21.768890517228936,1.0,0.03460707063821092,0.9638951790290063,worsened,4,3,-1,1,cartservice
2,re1_ob__cartservice_disk__3,re1_ob,disk,-0.008108108108001666,,,1.0081081081080017,-612.6563885922628,1.008108108108108,22.383277723089773,0.9806094182825484,0.022854227931407765,0.977114929655732,same,4,3,0,2,cartservice
1,re1_ob__cartservice_disk__4,re1_ob,disk,-0.0031117533421334276,,,1.0031117533421334,-629.6214723377107,1.002737850787132,20.578639441813003,0.9833795013850416,0.09167092802894872,0.907359027715028,same,4,3,0,1,cartservice
1,re1_ob__cartservice_disk__5,re1_ob,disk,0.08636756207001861,-80.51394232680761,81.51394232680761,0.9136324379299814,-668.889583005074,1.0049140025327745,21.48954155430284,0.9833795013850416,0.09251950553011293,0.9067353437892824,same,4,3,0,1,cartservice
1,re1_ob__cartservice_loss__1,re1_ob,loss,0.18974863305715695,-951.078566047676,952.078566047676,0.810251366942843,-117.47865834173257,0.8832249347467802,2.3689335021362434,0.9875346260387812,0.02035483797559213,0.6751511878803842,same,5,4,0,1,cartservice
9,re1_ob__cartservice_loss__2,re1_ob,loss,-0.0024353867288480213,0.9169342015144873,0.08306579848551263,1.002435386728848,-32.622942975901424,0.8275544975587291,0.3580653948912378,0.7257617728531855,0.021585355613259617,0.9400438796429992,worsened,4,4,-2,7,cartservice
2,re1_ob__cartservice_loss__3,re1_ob,loss,0.04070323110868801,0.7387558887721748,0.26124411122782526,0.959296768891312,-49.791875721146766,0.9738532667502552,1.2481925253516217,0.7950138504155124,0.05680144831368764,0.7717993157649419,same,4,4,0,2,cartservice
2,re1_ob__cartservice_loss__4,re1_ob,loss,0.014270330154146915,,,0.9857296698458531,-3.123365071494902,1.0030165727439775,1.079630633709172,0.6135734072022161,0.292159431439591,0.8081277042810584,same,4,4,0,2,cartservice
1,re1_ob__cartservice_loss__5,re1_ob,loss,-0.08845868627604636,0.9956908307108562,0.004309169289143825,1.0884586862760464,36.07415959101027,1.0859556494287368,1.0906943198014252,0.8047091412742382,0.980210616838775,0.47084203853203677,improved,4,4,2,3,cartservice
2,re1_ob__cartservice_mem__1,re1_ob,mem,-0.004393114463486336,,,1.0043931144634863,-1059.47778626957,1.005941983423701,82.61192132726063,0.9883333333333333,0.03527274161060001,0.9647272583894002,same,4,3,0,2,cartservice
2,re1_ob__cartservice_mem__2,re1_ob,mem,-0.0017672042958427614,-83.79823028134925,84.79823028134925,1.0017672042958428,-985.2207161784427,1.0030285816808477,82.89686809026124,0.9833333333333333,0.07412326067994764,0.9258767393200523,same,4,3,0,2,cartservice
1,re1_ob__cartservice_mem__3,re1_ob,mem,-0.0070261143759322575,-51.56821298621012,52.56821298621012,1.0070261143759323,-1306.813530795289,1.0070801162294987,82.84539396885255,1.0,0.06386420148912857,0.936164201979296,same,4,3,0,1,cartservice
2,re1_ob__cartservice_mem__4,re1_ob,mem,-0.1252390280378617,,,1.1252390280378617,-1032.8709035903266,1.1431746861924685,83.44535385786696,1.0,0.026271917597201818,0.9737276200887997,worsened,4,3,-1,1,cartservice
2,re1_ob__cartservice_mem__5,re1_ob,mem,-0.011474798404872422,,,1.0114747984048724,-1086.4471269394435,0.999964796479648,83.22094731408697,1.0,0.0670757955157924,0.9331495944555369,same,4,3,0,2,cartservice
1,re1_ob__checkoutservice_cpu__1,re1_ob,cpu,-0.0053031795603782905,,,1.0053031795603782,-1285.7512677621216,1.0017642931114659,98.81881801034876,0.9966666666666667,0.08026949425217865,0.948558807107045,same,4,3,0,1,checkoutservice
1,re1_ob__checkoutservice_cpu__2,re1_ob,cpu,0.007498132422327053,,,0.9925018675776729,-740.3765327593177,0.9924966171070577,50.150176348539055,0.7666666666666666,0.055556261940481855,0.9443730446509306,same,4,4,0,1,checkoutservice
2,re1_ob__checkoutservice_cpu__3,re1_ob,cpu,-0.0013784466794137806,-253.97138605072675,254.97138605072675,1.0013784466794138,-629.6475709551366,1.0041645599818558,49.439880079249406,0.9666666666666667,0.06825650167552291,0.9317383343902699,same,4,4,0,2,checkoutservice
2,re1_ob__checkoutservice_cpu__4,re1_ob,cpu,0.0019382545473731194,-137.07329798955473,138.07329798955473,0.9980617454526268,-1287.2586710631872,0.9940833059561336,98.670278769006,1.0,0.06154872981186672,0.9611721301025508,worsened,4,3,-1,1,checkoutservice
1,re1_ob__checkoutservice_cpu__5,re1_ob,cpu,-0.0070715410547953494,-77.06454609215066,78.06454609215066,1.0070715410547955,-756.0293773848392,1.008454923230028,49.26288744127528,0.9866666666666667,0.0582868980094092,0.9416952674444365,same,4,4,0,1,checkoutservice
1,re1_ob__checkoutservice_delay__1,re1_ob,delay,-0.031920539452434005,-1309.6847687539014,1310.6847687539014,1.031920539452434,-31.103463480927076,1.0313335050500545,4.37209510955859,0.9722991689750693,0.1704066371122555,0.6703228061866278,same,4,3,0,1,checkoutservice
4,re1_ob__checkoutservice_delay__2,re1_ob,delay,-0.48676203486716885,,,1.4867620348671688,-141.1479410961149,1.4385964912280702,3.1745144943330423,0.9349030470914127,0.1421621992380722,0.8489077798499474,improved,4,4,1,5,checkoutservice
7,re1_ob__checkoutservice_delay__3,re1_ob,delay,0.05914155568893553,-0.4306114851567573,1.4306114851567573,0.9408584443110645,-142.9219246962066,0.9990053068488473,4.350007911392405,0.8670360110803325,0.09547241377516139,0.9044117510590194,worsened,4,3,-3,4,checkoutservice
4,re1_ob__checkoutservice_delay__4,re1_ob,delay,-0.17379938163550301,,,1.173799381635503,-192.49287098016083,1.1692307692307693,3.1939348500346147,0.9501385041551247,0.11514932967988685,0.8838160221847479,same,4,4,0,4,checkoutservice
5,re1_ob__checkoutservice_delay__5,re1_ob,delay,0.04642128025225506,-0.22753322586785685,1.2275332258678568,0.953578719747745,-65.24653312041164,0.8876428702129674,3.1779398649952038,0.778393351800554,0.10090123557877424,0.8375965915869217,worsened,4,4,-2,3,checkoutservice
1,re1_ob__checkoutservice_disk__1,re1_ob,disk,-0.015538913073996463,-0.29691799322707135,1.2969179932270714,1.0155389130739965,-676.9907446666643,1.0199004975124377,27.345392021027397,1.0,0.08905651318288485,0.9111191436220143,same,4,3,0,1,checkoutservice
3,re1_ob__checkoutservice_disk__2,re1_ob,disk,-0.01278885540152408,-8.298701298700525,9.298701298700525,1.012788855401524,-591.487426321426,1.0091493302811188,26.909058911671348,0.9750692520775623,0.05762301743404119,0.942376982565959,worsened,4,3,-1,2,checkoutservice
1,re1_ob__checkoutservice_disk__3,re1_ob,disk,0.03297740978906949,,,0.9670225902109305,-647.1773581211887,0.9608108108108108,26.38994836012571,1.0,0.1007035214515014,0.8992964785484984,same,4,3,0,1,checkoutservice
1,re1_ob__checkoutservice_disk__4,re1_ob,disk,-0.010752688172049885,,,1.0107526881720499,-193.9728377745007,1.010752688172043,26.82201620584486,1.0,0.08484570161528254,0.9151542983847176,same,4,3,0,1,checkoutservice
1,re1_ob__checkoutservice_disk__5,re1_ob,disk,0.05497382198953138,-78.8383515341393,79.8383515341393,0.9450261780104686,-246.79715042899193,0.9450261780104712,26.36060773794295,0.9944598337950139,0.09656727984414237,0.8911089456666077,same,4,3,0,1,checkoutservice
7,re1_ob__checkoutservice_loss__1,re1_ob,loss,-0.03413541056593694,,,1.0341354105659368,-224.3175335252481,1.0374381690654733,0.8388226937504013,0.9667590027700831,0.09292301647172962,0.9070769835282698,worsened,4,3,-2,5,checkoutservice
11,re1_ob__checkoutservice_loss__2,re1_ob,loss,-0.12395500238072443,-0.04235495626857699,1.042354956268577,1.1239550023807245,-171.85676655122165,1.2360366394743523,0.8481818181818204,0.7811634349030471,0.12583449497420732,0.8814941110445602,worsened,4,3,-4,7,checkoutservice
7,re1_ob__checkoutservice_loss__3,re1_ob,loss,,0.1667630324838495,0.8332369675161505,,-142.58010975649245,1.0922056105637823,0.08379949062075598,0.9141274238227146,0.08950430599647208,0.8545775285579356,same,4,3,0,7,checkoutservice
7,re1_ob__checkoutservice_loss__4,re1_ob,loss,,0.7023278148959423,0.2976721851040577,,-63.925218496294406,1.058146229130685,0.44218323010065747,0.817174515235457,0.014249410960503268,0.940125116258188,worsened,4,4,-2,5,checkoutservice
7,re1_ob__checkoutservice_loss__5,re1_ob,loss,0.10168960248043868,0.7428258541851283,0.2571741458148718,0.8983103975195613,-103.75131197430596,0.9499964716674898,0.82775,0.6606648199445984,0.04542867389192792,0.9153018276646532,improved,4,4,1,8,checkoutservice
1,re1_ob__checkoutservice_mem__1,re1_ob,mem,0.038336629144080536,-1642.3457951290886,1643.3457951290886,0.9616633708559195,-1005.2960251930517,0.9831512475900417,86.58473766481318,1.0,0.04390133237268485,0.9560983171372638,same,4,3,0,1,checkoutservice
2,re1_ob__checkoutservice_mem__2,re1_ob,mem,0.0,-2452.6078431376354,2453.6078431376354,1.0,-1111.704157746688,1.0,86.06347400502968,0.995,0.05842957455399102,0.9415704254460091,same,4,3,0,2,checkoutservice
