case_id,dataset,fault_type,root_cause_service,raw_rank,observed_ar_rank,counterfactual_ar_rank,raw_to_counterfactual_delta,observed_to_counterfactual_delta,raw_top1,observed_ar_top1,counterfactual_ar_top1,counterfactual_top_competitor,root_top3_clip_mean,root_top3_clip_max,root_top3_any_clipped,competitor_top3_clip_mean,competitor_top3_clip_max,competitor_top3_any_clipped,raw_winner_top3_clip_mean,raw_winner_top3_any_clipped,observed_winner_top3_clip_mean,observed_winner_top3_any_clipped,root_or_competitor_any_clipped
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,1,1,1,0,0,adservice,adservice,adservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,1,2,1,0,1,adservice,frontend-external,adservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,1,1,1,0,0,adservice,adservice,adservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_delay__1,re1_ob,delay,adservice,1,1,1,0,0,adservice,adservice,adservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_delay__2,re1_ob,delay,adservice,4,3,3,1,0,frontend-external,frontend-external,frontend-external,frontend-external,0.33240997229916897,0.997229916897507,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__adservice_delay__3,re1_ob,delay,adservice,2,3,3,-1,0,frontend-external,frontend-external,frontend-external,frontend-external,0.33240997229916897,0.997229916897507,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__adservice_delay__4,re1_ob,delay,adservice,2,3,2,0,1,frontend-external,frontend-external,frontend-external,frontend-external,0.33056325023084027,0.9916897506925207,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__adservice_delay__5,re1_ob,delay,adservice,1,1,1,0,0,adservice,adservice,adservice,currencyservice,0.0,0.0,False,0.3250230840258541,0.9750692520775623,True,0.0,False,0.0,False,True
re1_ob__adservice_disk__1,re1_ob,disk,adservice,1,1,1,0,0,adservice,adservice,adservice,cartservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_disk__2,re1_ob,disk,adservice,1,1,1,0,0,adservice,adservice,adservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_disk__3,re1_ob,disk,adservice,1,1,1,0,0,adservice,adservice,adservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_disk__4,re1_ob,disk,adservice,1,1,1,0,0,adservice,adservice,adservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_disk__5,re1_ob,disk,adservice,1,1,1,0,0,adservice,adservice,adservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_loss__1,re1_ob,loss,adservice,1,1,1,0,0,adservice,adservice,adservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_loss__2,re1_ob,loss,adservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_loss__3,re1_ob,loss,adservice,1,1,1,0,0,adservice,adservice,adservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_loss__4,re1_ob,loss,adservice,1,1,1,0,0,adservice,adservice,adservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__adservice_loss__5,re1_ob,loss,adservice,1,1,1,0,0,adservice,adservice,adservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__adservice_mem__1,re1_ob,mem,adservice,1,1,1,0,0,adservice,adservice,adservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__adservice_mem__2,re1_ob,mem,adservice,2,3,2,0,1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_mem__3,re1_ob,mem,adservice,1,1,1,0,0,adservice,adservice,adservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__adservice_mem__4,re1_ob,mem,adservice,2,2,1,1,1,frontend-external,frontend-external,adservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__adservice_mem__5,re1_ob,mem,adservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,1,2,1,0,1,cartservice,frontend-external,cartservice,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,3,3,3,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_cpu__5,re1_ob,cpu,cartservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_delay__1,re1_ob,delay,cartservice,2,2,3,-1,-1,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_delay__2,re1_ob,delay,cartservice,6,5,2,4,3,main,adservice,frontend,frontend,0.3333333333333333,1.0,True,0.0,0.0,False,0.5,True,0.0,False,True
re1_ob__cartservice_delay__3,re1_ob,delay,cartservice,5,5,2,3,3,frontend-external,frontend-external,frontend,frontend,0.33240997229916897,0.997229916897507,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__cartservice_delay__4,re1_ob,delay,cartservice,3,2,2,1,0,frontend,frontend,frontend,frontend,0.33240997229916897,0.997229916897507,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__cartservice_delay__5,re1_ob,delay,cartservice,3,4,3,0,1,frontend-external,frontend-external,frontend-external,frontend-external,0.3333333333333333,1.0,True,0.0,0.0,False,0.0,False,0.0,False,True
re1_ob__cartservice_disk__1,re1_ob,disk,cartservice,1,3,1,0,2,cartservice,paymentservice,cartservice,paymentservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_disk__2,re1_ob,disk,cartservice,1,2,1,0,1,cartservice,redis,cartservice,redis,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_disk__3,re1_ob,disk,cartservice,2,2,1,1,1,frontend-check,frontend-check,cartservice,frontend-check,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_disk__4,re1_ob,disk,cartservice,1,1,1,0,0,cartservice,cartservice,cartservice,emailservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_disk__5,re1_ob,disk,cartservice,1,1,1,0,0,cartservice,cartservice,cartservice,redis,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_loss__1,re1_ob,loss,cartservice,1,1,1,0,0,cartservice,cartservice,cartservice,checkoutservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_loss__2,re1_ob,loss,cartservice,7,9,3,4,6,recommendationservice,recommendationservice,recommendationservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_loss__3,re1_ob,loss,cartservice,2,2,1,1,1,adservice,adservice,cartservice,adservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_loss__4,re1_ob,loss,cartservice,2,2,1,1,1,adservice,adservice,cartservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_loss__5,re1_ob,loss,cartservice,3,1,2,1,-1,recommendationservice,cartservice,recommendationservice,recommendationservice,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_mem__1,re1_ob,mem,cartservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_mem__2,re1_ob,mem,cartservice,2,2,2,0,0,frontend-external,frontend-external,frontend-external,frontend-external,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_mem__3,re1_ob,mem,cartservice,1,1,1,0,0,cartservice,cartservice,cartservice,main,0.0,0.0,False,0.5,1.0,True,0.0,False,0.0,False,True
re1_ob__cartservice_mem__4,re1_ob,mem,cartservice,1,2,1,0,1,cartservice,frontend,cartservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
re1_ob__cartservice_mem__5,re1_ob,mem,cartservice,2,2,1,1,1,frontend,frontend,cartservice,frontend,0.0,0.0,False,0.0,0.0,False,0.0,False,0.0,False,False
