case_id,dataset,fault_type,root_cause_service,raw_rank,raw_top1,stationary_counterfactual_ar_uncertainty_rank,stationary_counterfactual_ar_uncertainty_top1,direct_ar_bayes_factor_rank,direct_ar_bayes_factor_top1,direct_root_log_bf,direct_top_competitor,direct_top_competitor_log_bf,direct_root_margin
re1_ob__adservice_cpu__1,re1_ob,cpu,adservice,2,frontend-external,2,frontend-external,2,frontend-external,819.1482040724128,frontend-external,3920.173448276416,-3101.0252442040032
re1_ob__adservice_cpu__2,re1_ob,cpu,adservice,1,adservice,1,adservice,3,frontend-external,817.5124977512415,frontend-external,1140.5421381834467,-323.02964043220516
re1_ob__adservice_cpu__3,re1_ob,cpu,adservice,1,adservice,1,adservice,2,frontend-external,730.6748727493009,frontend-external,1134.1528441116193,-403.4779713623184
re1_ob__adservice_cpu__4,re1_ob,cpu,adservice,1,adservice,1,adservice,2,emailservice,890.3492238818748,emailservice,5053.122732829608,-4162.773508947734
re1_ob__adservice_cpu__5,re1_ob,cpu,adservice,2,frontend-external,2,frontend-external,2,frontend-external,592.2053938796222,frontend-external,3819.352734178837,-3227.147340299215
re1_ob__adservice_delay__1,re1_ob,delay,adservice,1,adservice,1,adservice,1,adservice,694.2051479508747,frontend-external,642.4277119816636,51.77743596921107
re1_ob__adservice_delay__2,re1_ob,delay,adservice,4,frontend-external,3,frontend-external,4,recommendationservice,22.60444711004277,recommendationservice,3204.9906867289496,-3182.386239618907
re1_ob__adservice_delay__3,re1_ob,delay,adservice,2,frontend-external,2,frontend-external,7,frontend-external,16.71229130497549,frontend-external,2283.7603879463677,-2267.048096641392
re1_ob__adservice_delay__4,re1_ob,delay,adservice,2,frontend-external,2,frontend-external,8,frontend-external,7.210187472993009,frontend-external,638.3658973369032,-631.1557098639103
re1_ob__adservice_delay__5,re1_ob,delay,adservice,1,adservice,1,adservice,3,recommendationservice,664.5996013816706,recommendationservice,2470.7868961887084,-1806.1872948070377
re1_ob__adservice_disk__1,re1_ob,disk,adservice,1,adservice,1,adservice,1,adservice,291.13409009581073,redis,287.87229658122516,3.2617935145855768
re1_ob__adservice_disk__2,re1_ob,disk,adservice,1,adservice,1,adservice,2,emailservice,427.8218924267323,emailservice,613.8051987769595,-185.98330635022722
re1_ob__adservice_disk__3,re1_ob,disk,adservice,1,adservice,1,adservice,2,emailservice,336.881027784368,emailservice,452.6304711743944,-115.74944339002644
re1_ob__adservice_disk__4,re1_ob,disk,adservice,1,adservice,1,adservice,2,recommendationservice,366.5414600669007,recommendationservice,491.6659797561212,-125.1245196892205
re1_ob__adservice_disk__5,re1_ob,disk,adservice,1,adservice,1,adservice,2,recommendationservice,297.4655323611883,recommendationservice,299.21195908319095,-1.7464267220026386
re1_ob__adservice_loss__1,re1_ob,loss,adservice,1,adservice,1,adservice,1,adservice,875.3213549944861,checkoutservice,407.5907148848464,467.7306401096397
re1_ob__adservice_loss__2,re1_ob,loss,adservice,2,frontend-external,2,frontend-external,5,frontend-external,100.80565501429669,frontend-external,2342.6958734916125,-2241.890218477316
re1_ob__adservice_loss__3,re1_ob,loss,adservice,1,adservice,1,adservice,2,recommendationservice,435.0224392078997,recommendationservice,2657.7066840747807,-2222.684244866881
re1_ob__adservice_loss__4,re1_ob,loss,adservice,1,adservice,1,adservice,3,emailservice,249.81495625832648,emailservice,2556.374668490553,-2306.5597122322265
re1_ob__adservice_loss__5,re1_ob,loss,adservice,1,adservice,1,adservice,4,cartservice,104.01742905940098,cartservice,206.84578654386507,-102.82835748446409
re1_ob__adservice_mem__1,re1_ob,mem,adservice,1,adservice,1,adservice,2,emailservice,1856.3550982752095,emailservice,4786.09531930456,-2929.7402210293503
re1_ob__adservice_mem__2,re1_ob,mem,adservice,2,frontend-external,2,frontend-external,3,frontend-external,2025.8222636328467,frontend-external,4083.2459753101048,-2057.4237116772583
re1_ob__adservice_mem__3,re1_ob,mem,adservice,1,adservice,1,adservice,1,adservice,1839.2487492612618,recommendationservice,306.80257162115305,1532.4461776401088
re1_ob__adservice_mem__4,re1_ob,mem,adservice,2,frontend-external,2,frontend-external,2,frontend-external,1999.053219062019,frontend-external,3818.7425909863646,-1819.6893719243456
re1_ob__adservice_mem__5,re1_ob,mem,adservice,2,frontend-external,2,frontend-external,2,frontend-external,1935.8161885976679,frontend-external,3964.9234601080943,-2029.1072715104265
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,1,cartservice,1,cartservice,2,frontend-external,680.5650576247283,frontend-external,1138.371630053634,-457.8065724289056
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,2,frontend-external,2,frontend-external,3,emailservice,386.112857631779,emailservice,4953.776285347927,-4567.663427716148
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,2,frontend-external,2,frontend-external,2,frontend-external,663.0787458911792,frontend-external,3820.2833404776175,-3157.2045945864384
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,3,frontend-external,3,frontend-external,3,frontend-external,489.6376891822296,frontend-external,3817.685752014587,-3328.048062832357
